##absorption coefficient values have been multiplied by 1E7 ( usual 1E5 * 100) to convert from per cm to per metre
5.8859	13877900
5.9059	1.3842e+07
5.9259	13808900
5.9459	13778600
5.9660	13750600
5.9860	13725700
6.0060	13703100
6.0260	13683000
6.0460	13665600
6.0661	13650400
6.0861	13637800
6.1061	13627100
6.1261	13618500
6.1461	13612300
6.1662	1.36078e+07
6.1862	13605400
6.2062	13604700
6.2262	13605400
6.2462	13607900
6.2663	13611700
6.2863	13617000
6.3063	13623600
6.3263	13631400
6.3463	13640100
6.3664	1.36495e+07
6.3864	13660100
6.4064	13670900
6.4264	13683100
6.4464	13695400
6.4665	13708100
6.4865	13721400
6.5065	13734800
6.5265	1.37485e+07
6.5465	13762400
6.5666	13776100
6.5866	1.37898e+07
6.6066	13803300
6.6266	13817100
6.6466	13830300
6.6667	13843300
6.6867	1.38559e+07
6.7067	13868700
6.7267	13880500
6.7467	13892300
6.7668	13903500
6.7868	1.39142e+07
6.8068	13924800
6.8268	13934800
6.8468	1.39444e+07
6.8669	13953400
6.8869	1.3962e+07
6.9069	13970300
6.9269	13978400
6.9469	13985900
6.9670	13993000
6.9870	13999800
7.0070	14006200
7.0270	14012600
7.0470	1.40186e+07
7.0671	14024500
7.0871	14030000
7.1071	14035700
7.1271	14040800
7.1471	14046200
7.1672	14051400
7.1872	14056600
7.2072	14061800
7.2272	14066700
7.2472	14072000
7.2673	14077800
7.2873	14083300
7.3073	14088700
7.3273	14094800
7.3473	14101000
7.3674	14107300
7.3874	14114000
7.4074	14120700
7.4274	14127800
7.4474	14135400
7.4675	14143100
7.4875	14151200
7.5075	14159800
7.5275	14168200
7.5475	14177800
7.5676	14187100
7.5876	14197000
7.6076	14206900
7.6276	14217400
7.6476	14228300
7.6677	14239300
7.6877	14251000
7.7077	1.42623e+07
7.7277	14274100
7.7477	14286000
7.7678	14298300
7.7878	14310600
7.8078	14322900
7.8278	14335700
7.8478	14348200
7.8679	14361100
7.8879	1.43735e+07
7.9079	14385800
7.9279	14398400
7.9479	14410600
7.9680	1.44223e+07
7.9880	14434300
8.0080	14445500
8.0280	14457100
8.0480	1.44677e+07
8.0681	14477900
8.0881	14488100
8.1081	1.44972e+07
8.1281	1.4506e+07
8.1481	14514200
8.1682	14521900
8.1882	14528800
8.2082	14534900
8.2282	14540000
8.2482	14544900
8.2683	14548600
8.2883	1.45514e+07
8.3083	14553400
8.3283	14554700
8.3483	14555100
8.3684	1.45538e+07
8.3884	14552000
8.4084	1.45494e+07
8.4284	14545500
8.4484	14540500
8.4685	14534300
8.4885	14526900
8.5085	14518600
8.5285	14509800
8.5485	1.44989e+07
8.5686	14487100
8.5886	1.44745e+07
8.6086	14460500
8.6286	14445100
8.6486	14428900
8.6687	14411500
8.6887	14393000
8.7087	14373200
8.7287	14352300
8.7487	1.43301e+07
8.7688	14307200
8.7888	14282800
8.8088	14257400
8.8288	14230900
8.8488	14203400
8.8689	1.41745e+07
8.8889	14144800
8.9089	14114300
8.9289	14082300
8.9489	14049300
8.9690	14015800
8.9890	13980700
9.0090	13945000
9.0290	13908300
9.0490	1.38705e+07
9.0691	1.38322e+07
9.0891	13792300
9.1091	13752400
9.1291	13711000
9.1491	13669100
9.1692	1.36261e+07
9.1892	13582200
9.2092	13537400
9.2292	13492700
9.2492	13446400
9.2693	13399900
9.2893	13352000
9.3093	13304100
9.3293	13254900
9.3493	13205100
9.3694	13154900
9.3894	1.31038e+07
9.4094	13052100
9.4294	13000000
9.4494	1.29469e+07
9.4695	12893100
9.4895	12838900
9.5095	12783800
9.5295	12728100
9.5495	12672300
9.5696	12615300
9.5896	12557700
9.6096	12499600
9.6296	12440600
9.6496	12381700
9.6697	12320800
9.6897	1.22602e+07
9.7097	1.21985e+07
9.7297	12136700
9.7497	12073300
9.7698	1.20094e+07
9.7898	11944800
9.8098	11879700
9.8298	11813400
9.8498	11746200
9.8699	11678700
9.8899	11609900
9.9099	1.15403e+07
9.9299	11470000
9.9499	11398900
9.9700	11326400
9.9900	1.12532e+07
10.0100	11178700
10.0300	11104300
10.0501	11027700
10.0701	1.09512e+07
10.0901	10873400
10.1101	1.07943e+07
10.1301	10714900
10.1502	10634100
10.1702	1.05523e+07
10.1902	10469300
10.2102	10385700
10.2302	1.03008e+07
10.2503	10215600
10.2703	10129400
10.2903	1.00415e+07
10.3103	9953390
10.3303	9864030
10.3504	9774070
10.3704	9683590
10.3904	9591480
10.4104	9499120
10.4304	9405520
10.4505	9311340
10.4705	9216850
10.4905	9121490
10.5105	9025170
10.5305	8927970
10.5506	8830830
10.5706	8733160
10.5906	8634240
10.6106	8535750
10.6306	8436830
10.6507	8336890
10.6707	8.23764e+06
10.6907	8.13672e+06
10.7107	8036830
10.7307	7936380
10.7508	7835630
10.7708	7734830
10.7908	7634360
10.8108	7534170
10.8308	7433360
10.8509	7332600
10.8709	7233320
10.8909	7133860
10.9109	7034260
10.9309	6935120
10.9510	6836620
10.9710	6739110
10.9910	6641880
11.0110	6545730
11.0310	6.4492e+06
11.0511	6354580
11.0711	6259950
11.0911	6166730
11.1111	6.07385e+06
11.1311	5981810
11.1512	5890890
11.1712	5.80204e+06
11.1912	5713210
11.2112	5625540
11.2312	5539160
11.2513	5.45383e+06
11.2713	5369530
11.2913	5286360
11.3113	5204520
11.3313	5.12411e+06
11.3514	5045050
11.3714	4966730
11.3914	4889090
11.4114	4813160
11.4314	4739260
11.4515	4666320
11.4715	4594100
11.4915	4523390
11.5115	4453770
11.5315	4385660
11.5516	4318870
11.5716	4253280
11.5916	4188290
11.6116	4125020
11.6316	4062580
11.6517	4001320
11.6717	3941700
11.6917	3883300
11.7117	3825700
11.7317	3768920
11.7518	3713510
11.7718	3659070
11.7918	3606160
11.8118	3554370
11.8318	3.50268e+06
11.8519	3452480
11.8719	3403450
11.8919	3355000
11.9119	3307870
11.9319	3261660
11.9520	3216400
11.9720	3171760
11.9920	3128160
12.0120	3085490
12.0320	3044080
12.0521	3002630
12.0721	2.96237e+06
12.0921	2922840
12.1121	2884270
12.1321	2845550
12.1522	2808490
12.1722	2772230
12.1922	2736460
12.2122	2.70089e+06
12.2322	2666500
12.2523	2.63242e+06
12.2723	2599490
12.2923	2566940
12.3123	2535270
12.3323	2.50364e+06
12.3524	2473420
12.3724	2442620
12.3924	2413210
12.4124	2383570
12.4324	2355160
12.4525	2326850
12.4725	2299780
12.4925	2272490
12.5125	2246240
12.5325	2219740
12.5526	2193940
12.5726	2168780
